Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Senior Manager,"Pune, Maharashtra",Full Time,Engineering Department,04-Sep-23,5,3,3,4,5,3,3,"Job security, Food","1. Processes are in place but not getting followed.
2. Nepotism is observed.
3. No work life balance
4. No empathy
5. Micro Management"
Customer Service Executive,"Mumbai, Maharashtra",Full Time,Retail Store Operations Department,02-Sep-23,5,5,5,5,5,5,5,"We feel very good in this company, if any problem comes then they support us all the time and we are very happy like this.","There is nothing about this company that we should not write about, everything is very good only for salary"
Senior Manager,Pune,Full Time,Production & Manufacturing Department,02-Sep-23,4,5,2,2,4,3,1,Work life balance,Doesn’t have any proper policy regarding progression & promotion. Lots of politics at workplace.
Data Entry Operator,"Jamshedpur, Jharkhand",Full Time,Production Department,02-Sep-23,5,5,5,5,5,4,5,No any Competitor Entire World regarding our Excellent  Company Tata's Code of Conduct and Company Ethics .,No issues
Planning Engineer,"Sanand, Gujarat",Intern,Construction / Manufacturing Department,02-Sep-23,4,1,1,3,4,1,2,job security and being a part of organization with good CSR,"people just dont work 
lazy going 
lower hierarchy not treated well
keep performing lame work
no perfect planning or clarity in anything you do"
Senior Manager,Pune,Full Time,Product Line Department,01-Sep-23,5,4,4,4,5,3,4,"Job Security 
Recognition
Work life balance","Work culture 
Food
Traveling
Saturday working
No flexible timing"
Senior Manager,Lucknow,Full Time,Management Department,01-Sep-23,3,3,3,3,3,1,2,A big group having a great legacy and proud feel,No opportunity for internal Growth and least scope for promotion unless there is a connection in apex management.
Apprenticeship Trainee,Jamshedpur,Contractual,"Operations, Maintenance & Support Department",01-Sep-23,5,3,5,2,3,5,1,"Company work very excellent and very skill learning  
Culture is very good and supervisor and senior manager behaviour is very good",Company selery is very bad not satisfied
Senior Manager,Pune,Full Time,Engineering & Manufacturing Department,01-Sep-23,3,3,5,2,5,2,2,Learning and work is awesome. Job security is similar to government job.,"Bad work culture with less salary compared to market standard.
Promotion and appraisal and non existent."
DET( Diagnosis Expert Cum Trainer) In Electric Vehicle,"Jaipur, Rajasthan",Full Time,Technical specialist (Electric vehicle) Department,01-Sep-23,4,4,5,4,5,4,5,"Tata motors (First mobital) jaipur good learning platform and we have grown and developed our skills. Job security, work satisfaction and good company culture.",Sometimes we have to face problems related to work and management
Diagnostic Expert Cum Trainer,"Raichur, Karnataka",Full Time,After Sales Service & Repair Department,07-Sep-23,5,5,5,3,3,5,3,J feel proud when I'm in my duty time 🙌🏻🫀,Salary is not enough because we are leaving in 2023 so 15000 will not work at all
Cce,Hyderabad,Full Time,General Insurance Department,06-Sep-23,4,3,3,3,3,3,2,"Good Oranization and working culture also, TBSS was one of the best company I've worked for. Only salary is less.",Salary is less promotion is very difficult.
Team Member,"Pimpri-Chinchwad, Maharashtra",Full Time,Engineering Department,06-Sep-23,3,1,1,5,1,5,3,"Very good in terms of etiquettes & manners,rules.Food quality is top notch.Best in the world in terms of employee safety.","If you join as a trainee(NTTF/NAPS) or apprentice (GOVT.ITI) You'll regret your worklife why you've joined this company,trainers give you fake hope of placements but sad part is that certificates not going to work anywhere you'll not get any job as trainers have told you like big stipends packages.sometimes tata gives you somewhere good packages but Diploma holders stay away from this job, Prefer diploma from govt engg colleges.But it's good job for needy people.Also I've seen increase in all trainees stipends because of resignations....Read More"
Supervisor   (working remotely),,Part Time,Data Science & Machine Learning Department,05-Sep-23,4,4,3,4,4,4,3,"Company policy is stick but not your work and your payment.... Only contact, online interview, interview charges aprox 65 rupies only... Come enjoy, work and earn",Dislike means work at night expectaly... But we are solved any have problem
Senior Sales Engineer,Pune,Full Time,Retail & B2C Sales Department,05-Sep-23,5,5,4,4,3,5,3,Company is Filled with Dedicated People's who works hard everyday. There is a huge scope to learn and then move to bigger challenges.,"HR Policies on Hiring, Confirmation are critical for newbies."
Warranty Manager,New Delhi,Full Time,After Sales Service & Repair Department,04-Sep-23,5,5,5,5,5,5,5,"I like to only to make decision regarding warranty claims & want to share my huge experience with the company whom will hire me to increase his business with the satisfaction of Customer & as well as our senior Employees to increase maximum turn over.
I will be very thankful to company seniors if a chance is given to me to show excellent result.","I don't want to dissatisfy any customer who is genuine & unable to get the facility given by Tata Motors as it dissatisfy the customer & also effect on the business. As per company policy every part for which customer is eligible in warranty , AMC , FMS ,It must be given to him to win the faith of company & not any disturbance in relations if company which can divert the customer to other competitor....Read More"
Diploma Trainee Engineer,"Pantnagar, Uttarakhand",Full Time,Engineering Department,02-Sep-23,5,5,5,5,5,5,5,Very well established system & appreciating work culture,There was nothing to dislike.but company have to change some policies related to staff openings
Senior Manager (L5.2),"Kolkata, West Bengal",Full Time,After Sales Service & Repair Department,02-Sep-23,3,1,4,4,5,1,3,Job is secured here,"It's a big organisation and full of internal politics and huge pressure down the line.
No work life balance here, life if people working in service department is hell.
Even you will get calls while night from call centre and customer there is no support policy for employees work life balance"
Quality Assurance,Jamshedpur,Contractual,Production & Manufacturing Department,02-Sep-23,4,3,3,2,1,4,1,Company culture was good .,"One thing that I dislike about it was a apprenticeship program of one year that's all , 
Not a job 😔 ."
Branch Sales Manager,"Chhatarpur, Madhya Pradesh",Full Time,Retail & B2C Sales Department,01-Aug-23,3,3,2,3,2,3,3,I Have already said by my rating but I can't say about Like because everything was average and not like...,"Lots of things like 
salary on time always be Impossible 
Senior behaviour always belongs to political bases 
Job security on Level Zero and so On"
Collection Executive,Hyderabad/Secunderabad,Full Time,Finance Department,01-Aug-23,5,5,3,4,3,3,4,We will get the salary in lockdown aslo so company will not given but we get from tata motors finance limited nd her we have about how to pressure out with team etc,We not take personal with customers nd we can't get any help with our team aslo
Mechanic Motar Vehical,Pune,Contractual,appc Department,05-Aug-23,5,4,5,4,5,5,4,"Tata motars company has safety first and knowledge is very good. Good work envirment and great well calture, freadam for work and learn. And company haw green envirment. Treat very well.",I dislike salery . Saleri is 10000thousand.
Quality Engineer,Sanand,Full Time,Quality Assurance and Testing Department,01-Aug-23,5,5,5,5,1,5,5,"Tata motors is best company with other company comparison but,my job is not permanent.so request you to my permanent job confirm.",No any dislike
Mechanical Maintenance Engineer,"Pantnagar, Uttarakhand",Full Time,Engineering Department,04-Aug-23,5,5,5,5,5,5,5,टाटा मोटर्स एक अच्छी कंपनी है इसमें को वर्कर को वर्कर कर नहीं समझा जाता कुशल व्यवहार है एवं हर प्रकार की सुविधा मुहैया कराई जाती है हर सुविधा का लाभ प्रत्येक वर्कर ले पता है टाटा मोटर्स में सभी कर्मी वर्कर टाटा मोटर्स फैमिली जैसे है all the best,"7 मंथ की ट्रेनिंग देकर जो बच्चे बाहर जाते हैं उनकी लाइफ खराब हो जाती है
कम लोगों को ट्रेनिंग दे और उनको यथा उचित समय तक रखें. टाटा मोटर्स का सिर्फ यही नियम बस खराब है और बाकी sb all the best"
Site Supervisor,Pune,Intern,Construction Engineering Department,03-Aug-23,5,5,4,4,4,5,3,The nature of Tata Motors Company is very cool and it feels good to work. It is very strict in terms of safety..,Permanent people's behavior is not right. Shows more ego.
Sales Executive,New Delhi,Full Time,Sales Support & Operations Department,02-Aug-23,5,5,5,5,5,5,5,"Ratan Tata is a very grateful person and Tata motors is very good product for India Tata motors pricing safety designing everything is best of India
Tata motors Indian brand","Good dock do cl do cl do go eto al all
Best do cl cl cl cl do so cl cl do cl do cl cl go cl go go go go go go go eto do cl ho
Batter"
Cmm Quality Engineer   (working remotely),,Full Time,Quality Assurance and Testing Department,01-Aug-23,5,5,5,5,5,5,5,No one,Not worthy to be a trainee as they tell you in the beginning that ur period to work there is 1 year. And don't dare to think that they make u a permanent employee.
Diploma Electronics Engineer,"Pantnagar, Uttarakhand",Full Time,"Operations, Maintenance & Support Department",09-Aug-23,1,2,3,2,2,2,2,There one year policy,We can learn here about EV battery pack in detail.
Senior Engineer-production,Pune,Full Time,Production & Manufacturing Department,08-Aug-23,3,3,2,3,2,2,3,"Bas culture,
No system,
Salary issue,
Bus facility is bad,
Hr and admin team is not working well.","Hi
I am going for interview at Venkateswara motors Gachibowli branch but HR madam she not not interested for I am working this crime and she not responsing me she is telling me after 2 days she is calling me she is not calling after 5 days I call him then she taking light?"
Delivery Coordinator,Hyderabad,Full Time,Service Delivery Department,08-Aug-23,5,5,4,5,4,5,5,"Hi
I am waiting for your company at I work",
Senior Manager L5,Pune,Full Time,Engineering Department,08-Aug-23,1,4,5,1,5,1,1,Tata motors offers lot of courses for skill development the only part which is good,"All old people sitting on the top level who doesn't know the process irritates a lot. They won't let us do our alloted work n do waste time in the name of interactions. Higher level people won't communicate each other and roll our heads all the time. Organisation is not suitable for Batchelors as they won't inform in the time of providing offer letter about the shift timings and they will mandate us to come in shifts which will be in alternate manner like a week in 6am 
to 3pm and the other in 3pm to 12am shifts , later this resulted me in lot of health problems....Read More"
Senior Manager,Pune,Full Time,Engineering Department,01-Aug-23,1,1,2,5,5,1,3,Nothing,"People need to come in shift, there is clarity of work & role ,there is no sitting place to sit & work properly, Alternating Saturday is off, Leave is not getting approved, there is wfh but no body can take."
Warranty Executive,Pune,Full Time,Customer support Department,01-Aug-23,1,3,4,1,3,2,1,Company overhual good..salary on time..boss treated good company facility also good,I am working from last 6 year company.. As Fix term employee.. But till time company not think about us...salary pakagle also low..
Logistic Assistant,Pune,Full Time,SCM & Logistics Department,07-Aug-23,4,4,4,3,3,4,3,"Supportive friendly staff,","Permanent employee behaviour
Different rules for Contract employees
Bus isn't available for contract employees"
Lead Business IT Operations,Mumbai,Full Time,IT Support Department,01-Aug-23,4,4,5,4,4,4,3,"Excellent opportunities for employees for exploring different functions. 
Latest business systems used for running business.",Promotion criteria for employees.
Data Entry Operator   (working remotely),,Part Time,Banking Operations Department,23-Aug,2,2,3,1,4,3,3,67% of employees would recommend working at Tata group to friend and 74% have a positive outlook for the business.,Full scope to learn with gracefully.no burden to trainee.Dislike.No job  stability there. They used 1 or 2 or 3 years of yours then tata bye bye.
Senior Manager,Jamshedpur,Full Time,Engineering & Manufacturing Department,08-Aug-23,5,4,3,3,4,5,4,work culture is good. But It depends on the manager under whom you are working.,Work management is bad under some manager.
Senior Associate,Pune,Full Time,"Operations, Maintenance & Support Department",08-Aug-23,4,5,3,4,5,4,3,Work timing is the best. We are able to balance work life and family life.,"Safety, Helmets and all should be complusory only where their is overhead work.
Head pains due to continues wearing of helmet."
Customer Experience Manager,"Korba, Chhattisgarh",Full Time,Customer Success Department,06-Aug-23,1,1,5,1,1,3,1,"Dealership and their people should be a educated
Power given by dp is most important discipline respect to your head is missing on Shivam automotive.",I dont like the delarship principal after registration they hold my salary of 2 month and insative
Quality Engineer,Pantnagar,Intern,supplier quality  Department,06-Aug-23,5,5,5,5,1,5,1,The atmosphere is best and all faculty were good. Full scope to learn with gracefully.no burden to trainee.,"No job stability there .
They used  1 or 2 or 3 years of yours and then tata bye bye"
Intern,Jamshedpur,Intern,Engineering Department,05-Aug-23,4,5,5,4,5,5,4,Work ethics is good and work-life balance good .,Promotion is little slower and salary increment should me little bit more fast .
Senior Manager,Pantnagar,Full Time,Occupational Health & Safety Department,04-Aug-23,5,4,4,4,4,5,3,"Most of the things I like. Few example - Ethics, Code of Conduct, Free food and snacks, family visits to Plant for employees etc",Nothing
Territory Sales Manager,"Chandigarh, Chandigarh",Full Time,Retail & B2C Sales Department,03-Aug-23,3,1,2,3,4,1,1,It's Tata Brand that's it,"There are many
Joined Recently in Tata Motors
After that day of Joining I never got back to home before 9 pm, on closing we have to stay till 12 am and again on 1st of month we have to be in office till 12 am
No work life balance
You have to sit until your boss is seating in office
They say there are alternate Saturdays off 
But in actual they want you to come on Sunday also."
Planning Engineer,Pune,Full Time,Engineering & Manufacturing Department,03-Aug-23,4,4,4,3,4,4,3,"Company Culture is very nice, Company works on ethical way.","Middle management ruins the business strategy. There is no any remuneration for hard working and loyal employees who working since long time. Less or half experienced New employee gets double hike comparing to old employee.
There is no retention policy."
Trainee,Jamshedpur,Full Time,Power Generation Department,03-Aug-23,1,1,3,1,1,1,1,I liked permanent employees behaviour some very good some r worst .,In ipt nd neem training dgm behaviour is worst. They treat like a dog
Area Sales Manager,Lucknow,Full Time,Retail Store Operations Department,03-Aug-23,2,2,2,2,1,1,2,Tata motors is tha best company in India but offroal dealership very very bad culture and job security and also very poor experience  thanks,No  title its very bad experience in offroal dealership for seve auto corp its scam for employees and customers
Senior Manager I Vehicle Integration,Pune,Full Time,Engineering Department,03-Aug-23,3,3,3,4,4,3,3,Culture and work life balance depends on your project and Team otherwise TATA MOTORS is good company.,Some project or team are not following good culture so environmental is not good.
Gat,Pune,Full Time,Operations Department,09-Aug-23,4,4,3,3,4,5,1,"I learn lots of new things about manufacturing operation, process, company rules ,facility provided by company.","Some managers  are not proper guided  to training  student, pressurised them to do work ,this is very wrong I don't like  this types of people."
Territory Sales Manager,"Mumbai, Maharashtra",Full Time,Retail & B2C Sales Department,03-Aug-23,3,1,3,3,5,2,2,"Sir, Ratan Tata left a legacy... Just want to be part of it","No work life balance 
Hectic hours
Too much pressure
Toxic culture"
Manager,Jamshedpur,Full Time,Stores & Material Management Department,02-Aug-23,1,1,1,1,1,1,1,Nothing brand name otherwise it is the worst company in India 🇮🇳 to work with,Everything corruption no management regionalism pathetic salary abnormal working hrs
Senior Manager,"Mumbai, Maharashtra",Full Time,Enterprise & B2B Sales Department,01-Aug-23,1,3,1,1,5,1,1,Too much time at your hands if you get a good manager.,Just pray you don't have to work with Abhishek Dubey. That guy is a piece of work and completely unfit for his role.
Implementation Engineer   (working remotely),,Full Time,IT Network Department,01-Jul-23,5,5,5,5,5,5,5,Is money is problem I am Tata company's owner I am sell you in,Yes but money is problem I am Tata companies owner not interest by the way
Marketing Manager,"Mohania, Bihar",Full Time,Marketing Department,23-Jul,1,5,5,1,1,5,4,Like 👍,"1.tata motors faces three challenge.
2.Global semiconductor the impact of the COVID 19 pandemic and data management
3.. sluggish economic growth
4.. weak liquidity
5.. financing norms and low rural income"
Electrician,"Rudrapur, Uttarakhand",Full Time,Engineering Department,08-Jul-23,4,4,4,5,3,4,3,Nice company for all employees except contract employee. Providing best facilities or aminities to employ.,Current policy  is not healthy for workers.
MM-Excutive,Pune,Contractual,Stores & Material Management Department,07-Jul-23,5,5,5,5,5,5,5,"It's very good staff,and all members support,and safty is first choise in tata solar no compromise safty tool ..next future only tata power.",No comments
Security Officer,Jamshedpur,Full Time,Security Officer Department,06-Jul-23,5,5,5,4,4,5,4,Everything is good people here environment here discipline here team waork every thing is right.,"The management has nothing to do with any contractor, only this is not right, because of this, the contractors do their own thing, they do not get the right salary of the laborers."
Customer Support Manager,"Jaipur, Rajasthan",Full Time,After Sales Service & Repair Department,04-Jul-23,5,4,5,4,5,5,4,"Great Employee Friendly atmosphere, empowerment to employee as per designation and capabilities.
Utmost care of the employee.","Customer complaint calls are some time hectic, in mid night.
Otherwise good."
Product Manager,"Chandigarh, Chandigarh",Full Time,Marketing Department,08-Jul-23,5,5,5,5,5,5,5,Working environment is world class facilities are word class and learning and the process is top class,Do not have too much off in the year so do not have time for our family
Senior Manager Customer Support,"Guwahati, Assam",Full Time,After Sales Service & Repair Department,04-Jul-23,5,5,4,4,5,5,4,"Company's inclusive culture, diversity in workplace, employee oriented",Joining process and training of a new employee can be more streamlined but it is not a point of any dislike.
Assistant Technician,"Oodlabari,jalpaiguri District,west Bengal.",Intern,Technician Department,04-Jul-23,4,3,5,4,5,4,4,My starting salary is 3000 rupees.,"Some freshers are child labourers their salary per month 2000.
Seniors technicians eat gutkhas pan masala and use odd languages."
Senior Manager,Plant Dharwad,Full Time,Non Voice Department,03-Jul-23,4,4,3,3,4,3,2,"Better than small organizations in India. If you have certificate frm IIT and IIM it's a good organizations for you, otherwise no growth for years.",Food in Dharwad Plant. Peoples from north India can't survive with this food.
EV PRODUCT MANAGER - DEALER SALES DEVELOPMENT,"Kolkata, West Bengal",Full Time,Enterprise & B2B Sales Department,09-Jul-23,5,4,4,4,4,4,4,Love towards our country.,"Extreme work pressure, Senior members pressure are beyond expectation. In life we need mental balance to maintain work and family both which is not possible now. Earlier it was a good place to work."
Seles Manager   (working remotely),,Full Time,Finance Department,02-Jul-23,5,3,5,3,3,4,3,I like tata moters but my salary is less then other company so I am not for good.,This company job is nat siqure so dis like company.
Product Specialist,New Delhi,Contractual,Retail & B2C Sales Department,01-Jul-23,3,3,5,5,1,4,2,"Working culture is good, you will get salary before the time.","Never join Tata motors on Contractual basis, because their is less than 1% chance to be on company payroll and also no job security. Also you will not get TA & DA."
Relationship Manager,"Gurgaon/Gurugram, Haryana",Full Time,Retail & B2C Sales Department,09-Jul-23,3,3,4,2,4,4,3,Its Indian Brand,"PDI Issue in new cars,poor customer service after sales and Tata shopping card Incentive is not coming in time and in our shopping cards."
Deputy General Manager Operations,Jamshedpur,Full Time,Management Department,09-Jul-23,3,3,3,3,4,3,3,I get open hand to work & establish new projects. Established many projects here successfully.,"Over manpower, anyone take credit of your achievements very easily. No one here to takecare of your hard-work & skill."
Senior Manager Maintenance,"Ahmedabad, Gujarat",Full Time,"Operations, Maintenance & Support Department",09-Jul-23,1,1,2,4,3,1,1,Nothing,"Only work only work not discuss other things
Join as manager and boss use as Fitter
In A shift get up early morning at 4:00 clock and reach at home 8:00 PM clock. (A+G)
Management is very poor, No discussion any plan work only breakdown breakdown........"
Dgm,Jamshedpur,Full Time,Operations Department,09-Jul-23,4,3,4,2,3,3,2,"Good learning as a stepping stone, many new skills development with interaction with cross functional teams.","Office politics, pressure are high, No weighted to hard work or performance,"
Senior Manager,"Pune, Maharashtra",Full Time,Engineering & Manufacturing Department,08-Jul-23,5,5,5,4,5,5,4,"An excellent place to learn, experiment and try out new ideas. Very warm and supportive work culture",Growth wrt promotions are slow
Junior Engineer   (working remotely),,Full Time,Back Office Department,07-Jul-23,4,5,4,5,5,5,5,"How satisfied are employees working at Tata Motors? 84% of Tata Motors employees would recommend working there to a friend based on Glassdoor reviews. Employees also rated Tata Motors 3.9 out of 5 for work life balance, 4.1 for culture and values and 3.9 for career opportunities.",skills improvement and adoption to latest technology in the technical side is very poor. people tend to follow the old practice and reluctant to adopt progressively for latest technology changes
Senior Manager,"Mumbai, Maharashtra",Full Time,Retail & B2C Sales Department,06-Jul-23,3,2,2,4,3,2,3,Incentives,"Culture , work life balance 
MS team made life hell
NO weekly off 
No comp off 
Front line team taken for granted"
Assistant Technician,Chengalpattu,Full Time,After Sales Service & Repair Department,05-Jul-23,4,4,3,2,3,3,2,Tata motors are the best commercial vehicles company and its training are best for workers,"Tata motors are getting best name in city’s but the dealer are getting a bad name and mind set for tha people and customers, like popular mega motors dealer Chengalpattu branch worst service dealer  in tamilnadu , im working as a assistant technician that dealer ,"
Senior Manager,"Pantnagar, Uttarakhand",Full Time,Procurement & Purchase Department,04-Jul-23,5,5,5,4,5,5,3,"Best company to work ,provided your aspirations are not too high because promotion rate is slow. But growth is good if you have good repo with boss or you work really well as per manager expectation",Nothing much
"Sr. Manager Vehicle Dynamics Simulation, ERC, Tata Motors Ltd.",Pune,Full Time,Engineering Department,04-Jul-23,5,5,5,5,5,5,3,Freedom to work on your pwn initiatives that are aligned with company objectives,Less chances of progression in career as it is very crowded place
Accounts Executive And Administrator,"Dimapur, Nagaland",Full Time,Accounting & Taxation Department,04-Jul-23,3,3,2,2,2,3,2,Work environment is good.,I have not learn anything I am working on my own past working experience. No tranning till now all u have to work on your own experience. Less supportive
Executive Officer,Pune,Full Time,"Operations, Maintenance & Support Department",04-Jul-23,5,4,4,3,4,4,3,"1 Multiple department work 
2.Self development choice and motivation 
3 Increase knowledge
4. Company taking care of employees
5 Proud of Tata Motors","1 Appriser ratings poor by manager level employees can't fight on this.
2 Department level locking period 
3 Employees Family/ Medical situation ignored or not understand current management system. Due to facing more difficulty during offical work activities."
Diploma Apprenticeship Trainee,Chikhali,Full Time,Production Department,02-Jul-23,4,4,5,3,5,5,4,It was great experience for me worked in brand company like Tata motors. Specially it's culture is very impressive and perfect for their society. I am worked  there as a team leader in new TCF shop which is one of shop only for girls. I feel very proud on me to being part of TATA motors family,Canteen
Senior Manager,Kolkata,Full Time,Management Consulting Department,09-Jun-23,4,2,3,4,5,2,3,You will be given opportunities if you ask for it and there is complete freedom given to you. You are free to implement any new ideas you have.,Work-life balance is not there. The culture is not that great.
Quantity Surveyor,"Bikaner, Rajasthan",Full Time,Construction Engineering Department,09-Jun-23,2,1,1,1,3,1,1,On time salary is the only thing which can be appreciated! If you get a good lead to guide you than you can enjoy your work! Choose this only if you’re being taken on role. Laptops are being issued like chocolates! Totally on-site good opportunity if u like travelling throughout India! No limits on travelling PAN India!,"Inexperienced, Inappropriate, mannerless, uncultured, useless leads are being appointed. Who himself is just 6months experienced! Total egoistic & irratic behavioured recruits who are based in the company from ages. Bangalore is just to attract opportunity seekers. Once you go on-site there’s no coming back which is not told to you initially. And this is an off role third party employer and not on role for TATA POWER. No incentives, lot of travelling, no proper training on SAP given just because they think that the employee might resign anytime! Instead of talking  discussing abt induction & on job training. Things like how long will you be in this company? How much salary has been offered to you? Be here for a year later we will make sure you get placed in a better position & salary, these things are being discussed. Which according to me is very discouraging & totally unprofessional. Aspiring QS & Planning Engineers please do not go for this job just for salary sake!...Read More"
Back Office Coordinator,"Meerut, Uttar Pradesh",Full Time,After Sales Service & Repair Department,09-Jun-23,1,1,1,1,1,1,1,I don't like anything,"I didn't like working here because there are no facilities and there is no atmosphere here, no one listens to anyone."
Process Engineer,Pune,Contractual,"Operations, Maintenance & Support Department",09-Jun-23,4,3,4,2,5,3,2,Good organisation to start your career. Good knowledge to gain,Salary and benefits are low. Management is not supportive.
Production Executive,Pune,Full Time,Operations Department,09-Jun-23,4,3,2,2,4,4,2,Job security & good work culture.,Promotion policy & appraisal for executive employee is not meaningful. HR also not giving fair help. Reporting managers DGM have working on same role for more than 15yrs on same location and only looking for their comfort not giving attention towards new employees development like executive employees.
Senior Manager,Pune,Full Time,"Operations, Maintenance & Support Department",08-Jun-23,3,5,3,5,5,2,1,People are supportive and job rotation option,"Seniors are egoistic and due to age they don't want any change. They can't take decision due to fear, even a simple decision required months. Very slow growth, i saw employees who is doing good work are not getting promoted even after 20+ year on same role."
Hr Manager,"Gurgaon/Gurugram, Haryana",Full Time,Employee Relations Department,07-Jun-23,5,5,3,3,4,5,4,Company gives the hug incentives to Customer care sales person and service employees attract to work for additional income.,Incentives and trip not provided to HR manager
Territory Sales Manager,"Chennai, Tamil Nadu",Contractual,Sales Support & Operations Department,07-Jun-23,1,1,1,1,1,1,1,Being a Diploma candidate the company given me the opportunity to work as Territory Sales Manager in Sales Support functions as a contractual employee through its subsidiary payroll company Tata Business Support.,Promotions are meant only for top management. There is no growth for Territory Sales Managers in this company as i have worked 15 years with out any career growth or personal growth.
Senior Manager Sales,"Hyderabad/Secunderabad, Telangana",Full Time,Sales Support & Operations Department,06-Jun-23,3,3,3,3,4,3,3,Job security and company’s vision to grow consistently,"Work life balance
Slow growth
Lower payscale
Chaotic work culture"
Store Executive,"Dharwad, Karnataka",Contractual,SCM & Logistics Department,06-Jun-23,4,4,3,3,4,4,4,"Our company provide an excellent working platform and environment, where I can utilize my work experience and skills developed to contribute towards future growth of company. Tata motors is very good option to utilize knowledge towards Automobile sector.",Skills improvement and adoption to latest technology in the technical side is need to improvement in SCM Department.
Senior Manager,Pune,Full Time,Engineering & Manufacturing Department,06-Jun-23,4,5,2,2,5,1,3,"Provide food & Transport out of CTC
Have very good opportunities to expose your self to higher management","Complete Manager oriented growth system.
Some teams are very well managed and some are not.
Almost no skip levels"
Senior Manager,Pune,Full Time,SCM & Logistics Department,05-Jun-23,2,1,1,1,4,3,1,Only job security,"There might be different views when it comes to tata motors as it is a big organization so department to department culture may change. But in operation do not expect you would get good salary, good culture, learning opportunities and work life balance. Its myth in tata motors plant operations profile. Because of the mid level management is way to lousy and empathy less. They just want to survive there for that they will keep their juniors life in hell. HR is way too pathetic...Read More"
Trainee,Jamshedpur,Intern,Production Department,05-Jun-23,4,4,4,3,4,3,1,"Work culture is good , facilities are provided is good, Shift timings are good,","Many times in interns and trainees have to work on Sundays but they don't get pay double but they work in Sundays they get one extra holiday which is decided by company, food provided in Tata motors is not so good."
Territory Sales Manager,"Bengaluru/Bangalore, Karnataka",Full Time,Sales Support & Operations Department,04-Jun-23,3,3,2,4,2,2,2,Company policies and benefits and products,Karnataka state head do blackmail and if we do one mistake also he vl treat as different behaviour with employees not good totally Karnataka state management is worst don't join
Apprentice,Jamshedpur,Full Time,Management Department,02-Jun-23,5,5,2,2,1,5,2,company is very good and tata motors provided best safety for their employs,i not like about this tata motors because i am not getting permanent after 1 year of trainee/apprentice
Operator,"Pimpri-Chinchwad, Maharashtra",Full Time,Painter  Department,01-Jun-23,5,5,5,3,1,5,5,My life,"Tata motors is the best company 
But temp are period R not supisheend
I m Tata motors FTA 
But i m not parment  😡😞😞"
Trainee,"Pimpri-Chinchwad, Maharashtra",Full Time,Production Department,09-Jun-23,5,3,3,3,4,5,4,I like company facilities. And environment,To much work on production line and parmanent workers not doing work on production line just doing saide assembly. Temporarily works payment is too much low
Team Leader,"Sanand, Gujarat",Contractual,Quality Assurance and Testing Department,08-Jun-23,5,3,3,3,3,2,1,Education for work in office.,He employee for the trraing for not conform to tata motors permanent employee but most employees  are joining to tata motors future and after the training due to not conform employees.
Senior Manager,Pune,Full Time,Quality Assurance and Testing Department,08-Jun-23,3,1,5,2,3,1,3,Learning you will get as work starts here from zero to EOL.,"As it is in Maharashtra Pune, so there is little Marathi things you'll get here also they try to push outsider.
There is very strictly timing here, also you are working in plant premises you will have to work on ground level wearing helmets and safet shoes (mandatory)
It will be hard for IT people to survive here as there is no flexibility of timing.
Sometimes in meeting also people start arguing and debating in Marathi.
Not a process oriented organization everyone at there position having their own ego....Read More"
Executive,Pantnagar,Full Time,Operations Department,07-Jun-23,4,3,3,2,4,1,1,"Tata Motors is good company for working 
Security of jobs
Supportive n helpful
Leave easily available","Hard worker growth slow down..
A lot of Politics
Salary structure is not good"
Technical Helper,"Pune, Maharashtra",Part Time,Teaching & Training Department,07-Jun-23,5,5,5,5,5,5,5,Best work experience of my life I got in Tata Motors If I get a chance again I would like to work in Tata Motors all my life,Did not get job again in Tata Motors
Team Leader,"Sanand, Gujarat",Full Time,Engineering Department,06-Jun-23,3,3,4,5,4,5,2,"Production management, manpower handling, research under 'Kiazen' program.","In Sanand plant, there is less opportunity to learn comparing it's Pune plant."
Team Lead Operations,"Ludhiana, Punjab",Part Time,Sales Support & Operations Department,06-Jun-23,4,4,5,4,5,4,4,"Tata is increasing its share on roads and we are pioneering in Commercial,EV,UV and CNG Vehicles ( both cars and commercial vehicles).",Working are a bit long sometimes and you have to do it anyhow.
Senior Manager,"Pune, Maharashtra",Full Time,Engineering & Manufacturing Department,04-Jun-23,3,3,2,2,5,3,2,Job security is excellent here and you don't feel like you are working in Corporate company you feel like you are working in government company.,Skills improvement and adoption to latest technology in the technical side is very poor. People tend to follow the old practice and reluctant to adopt progressively for latest technology changes.
Employee Relations Executive,Lucknow,Full Time,Production & Manufacturing Department,23-Jun,4,2,3,2,3,3,1,Your company provide an excellent working platform and environment where I can utilise my work experience and skilled developed two country viewed towards future growth of company. Tata motors is very good option to utilise knowledge towards automobile sector.,1 year job training complete hone ke baad parmanent nahi karte Hain aur salary income ki badhotari nahi hoti 1 years ka bad kya karege is chiz ki tention hoti he.
Senior Manager,"Pantnagar, Uttarakhand",Full Time,HR Operations Department,06-Aug-23,5,5,5,5,5,5,4,"Respect for employees 
Job security 
Work culture
Salary 
Training and development 
Management etc etc etc",Nothing as such to dislike about the company
