Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Electrical Maintenance Engineer,Tata,Full Time,Maintenance Department,05-Jun-19,1,3,2,2,2,3,2,Work environment,Salary
Accounts Executive,Jangaom,Full Time,Accounting & Taxation Department,19-Mar,5,1,1,1,5,2,3,"Overall company is good and average,teamates also nice and salary somewhat less and work place is good and work is life overall balanced.",Overall nice
Relationship Manager,Rajahmundry,,,04-Sep-18,3,4,5,5,5,5,5,Beautiful experience with tata motors,Conformation delay
"Shop Initiative,over All Shop Documentation And Safety",Dharwad,,Production Department,05-Jul-19,5,3,3,3,3,3,4,Satisfaction low stress,Growthing
Sales Team Leader,Visakhapatnam,,Marketing Department,06-Feb-19,5,5,5,5,4,5,5,"Nice job and nice people,,and very nice my boss he is always help me and other employees,,I learned computer working,","Job security is better than others , Career growth is far away from reality , Salary is good and appraisal too work environment is excellent and work life balance also the only thing matters is growth."
Senior Manager,Pune,,Engineering & Manufacturing Department,07-Jan-19,5,5,5,5,3,3,3,I dislike most about the career growth as a supervisor to a manager.,"It's a wonderful opportunity I got compus selection in Tatamotors Dharwad, it's a nice plant we have learned lot of things, have good experience and got lot of knowledge  for our career opportunities."
Insurance Executive,Raipur,,Vehicle insurance Department,18-Dec,4,5,5,5,5,5,5,NO,
Supervisor,Jamshedpur,,Product Management - Technology Department,09-Jul-18,5,3,4,3,4,3,4,,
Diploma Mechanical Engineering,Hubballi-Dharwad,,Production & Manufacturing Department,06-Apr-19,5,5,4,4,4,5,3,,
Assistant Mechanic,Bbsr,,,01-May-19,5,1,5,5,2,5,3,Tata motors sefty system is very strong.principul  I will be satisfied,Nice company and working experience is suitable
Service Support Executive,Bangalore,,DBA / Data warehousing Department,05-Dec-18,5,3,3,3,3,5,1,Working on contractual basis,Good company
Sales Executive,Hyderabad,,BD / Pre Sales Department,03-Jul-19,5,5,5,5,5,5,5,Yes,No
Temporary Workman,Lucknow,,"Operations, Maintenance & Support Department",01-Jul-20,4,5,4,4,3,5,3,It's good platform to learn new things with new innovative ideas.,I feel proud to be part of Tata motors.
Team Leader,Barpeta,,Marketing Department,06-Sep-19,5,4,5,3,3,5,3,Everything is good in Tata motors,Management is a little bit lazy.
TM0 Maintenance Engineer,Pune,,Maintenance  Department,01-Mar-19,4,5,5,5,5,3,5,Worst company all Tata vendor in Lucknow.,"Job security, career growth."
Diploma Mechanical Engineer,Pune,,AME Department,05-Jan-19,4,4,4,4,3,3,4,,
Quality Engineer,Lucknow,,Construction / Manufacturing Department,07-Jan-19,2,4,5,4,4,4,5,,
Sales Excutive,Bharatpur,,BD / Pre Sales Department,03-Jun-22,5,5,5,5,4,4,5,Bestest time of working in Tatamotors,Nothing to say
Manufacturing Supervisor,Gujurat.ahemadabad.,,Paint Shop Quality Department,04-Sep-20,5,2,5,3,4,4,4,Good work and culture.,There is a lot of good work .
